BUYER_ID,frequency,recency,profit
21762,4,573,15
21763,1,573,1
21764,1,573,8
21765,1,573,1
21766,1,573,1
21767,1,572,7
21768,2,506,8
21769,1,573,4
21770,1,573,5
21771,1,573,1
21773,2,573,7
21774,1,573,2
21776,1,573,5
21779,1,573,1
21780,1,573,3
21782,1,573,4
21787,1,573,12
21790,1,573,6
21791,1,573,6
21792,4,464,32
21793,1,573,4
21795,1,573,3
21796,1,573,6
21797,2,571,2
21799,1,573,1
21800,1,573,1
21801,1,573,2
21802,1,573,7
21803,4,114,21
21805,1,573,7
21806,2,573,22
21810,1,573,4
21811,2,509,11
21812,3,573,17
21813,1,573,2
21814,2,566,24
21815,1,573,2
21817,2,573,20
21819,1,573,2
21820,1,573,6
21821,1,573,5
21822,1,573,3
21823,1,573,5
21825,1,570,8
21828,1,573,11
21829,5,545,18
21830,1,573,1
21831,1,573,2
21832,1,573,5
21833,1,573,1
21835,1,573,1
21836,2,573,8
21838,1,573,1
21839,2,506,13
21840,1,573,5
21842,1,573,5
21843,16,374,35
21844,26,374,67
21845,1,573,1
21846,1,573,1
21848,1,573,3
21850,12,464,58
21851,2,573,6
21852,1,573,1
21854,2,566,4
21855,2,507,9
21858,2,569,4
21859,1,573,2
21860,1,573,5
21861,1,573,1
21863,1,573,1
21864,1,573,1
21865,1,573,3
21866,3,544,12
21867,1,573,4
21868,1,571,4
21869,1,570,4
21870,1,573,3
21871,1,573,3
21872,1,573,2
21876,1,573,5
21878,1,573,1
21881,1,573,2
21882,1,573,8
21883,1,573,2
21886,3,573,11
21890,1,573,5
21895,2,573,8
21896,1,573,2
21900,1,573,3
21901,1,573,2
21904,4,404,25
21909,3,537,10
21912,1,507,3
21916,2,570,3
21918,2,361,26
21919,12,62,62
21921,1,506,2
21923,1,517,3
21947,1,572,1
21948,1,572,2
21951,2,566,20
21965,1,571,5
21966,1,571,1
21981,7,296,25
22004,1,570,6
22005,1,502,1
22021,8,20,66
22022,1,506,4
22031,2,22,9
22036,3,567,17
22039,1,563,3
22040,2,383,40
22062,5,293,45
22068,1,570,3
22072,2,403,16
22083,3,569,7
22085,6,357,46
22090,2,569,6
22093,1,569,1
22096,1,569,5
22098,1,569,4
22100,7,374,21
22102,2,569,26
22104,1,569,2
22106,3,455,30
